Team,Season,Wins,Losses,Percentage,ORtg,DRtg
PHI,2008-09,41,41,0.5,107.9,107.8
PHI,2007-08,40,42,0.488,106.4,106
PHI,2006-07,35,47,0.427,103.6,106.9
PHI,2005-06,38,44,0.463,106,108.1
PHI,2004-05,43,39,0.524,103.5,104.3
PHO,2015-16,23,59,0.28,102.2,109
PHO,2014-15,39,43,0.476,105.3,106.2
PHO,2013-14,48,34,0.585,109.5,106.7
PHO,2012-13,25,57,0.305,101.2,108.1
PHO,2011-12,33,33,0.5,106.2,106.5
PHO,2010-11,40,42,0.488,109.5,110.4
PHO,2009-10,54,28,0.659,115.3,110.2
PHO,2008-09,46,36,0.561,113.6,111.6
PHO,2007-08,55,27,0.671,113.3,108.1
PHO,2006-07,61,21,0.744,113.9,106.4
PHO,2005-06,54,28,0.659,111.5,105.8
PHO,2004-05,62,20,0.756,114.5,107.1
POR,2015-16,44,38,0.537,108.8,108
POR,2014-15,51,31,0.622,108.2,103.7
POR,2013-14,54,28,0.659,111.5,107.4
POR,2012-13,33,49,0.402,105.8,109.2
POR,2011-12,28,38,0.424,105.7,106.4
POR,2010-11,48,34,0.585,108.8,107.1
POR,2009-10,50,32,0.61,110.8,107.1
POR,2008-09,54,28,0.659,113.9,107.8
POR,2007-08,41,41,0.5,107.3,108.4
POR,2006-07,32,50,0.39,105.1,109.9
POR,2005-06,21,61,0.256,101.1,111.9
POR,2004-05,27,55,0.329,103.2,107.7
SAC,2015-16,33,49,0.402,106,108.4
SAC,2014-15,29,53,0.354,105.3,109.2
SAC,2013-14,28,54,0.341,105.7,108.8
SAC,2012-13,28,54,0.341,106.2,111.4
SAC,2011-12,22,44,0.333,103.8,109.8
SAC,2010-11,24,58,0.293,103.5,109
SAC,2009-10,25,57,0.305,105.3,109.9
SAC,2008-09,17,65,0.207,105.5,114.7
SAC,2007-08,38,44,0.463,107.5,109.9
SAC,2006-07,33,49,0.402,106.2,108
SAC,2005-06,44,38,0.537,106.7,105
SAC,2004-05,50,32,0.61,110.5,108.2
SAS,2015-16,67,15,0.817,110.3,99
SAS,2014-15,55,27,0.671,108.5,102
SAS,2013-14,62,20,0.756,110.5,102.4
SAS,2012-13,58,24,0.707,108.3,101.6
SAS,2011-12,50,16,0.758,110.9,103.2
SAS,2010-11,61,21,0.744,111.8,105.6
SAS,2009-10,50,32,0.61,110,104.5
SAS,2008-09,54,28,0.659,108.5,104.3
SAS,2007-08,56,26,0.683,107.2,101.8
SAS,2006-07,58,24,0.707,109.2,99.9
SAS,2005-06,63,19,0.768,107.3,99.6
